Series ID,STATE,CATEGORY,TYPE,2011,2012,2013,2014,2015,,,,,,
CSUE1X00000033053,WASHINGTON,Violence and other injuries by persons or animals,LTIFR,8.1,8.2,6.5,8.2,9.5,,,,,,
CSUE1X00000033054,WEST VIRGINIA,Violence and other injuries by persons or animals,LTIFR,4.8,5.6,5.6,6.8,6.2,,,,,,
CSUE1X00000033055,WISCONSIN,Violence and other injuries by persons or animals,LTIFR,4.8,5.4,5.1,7.5,6.1,,,,,,
CSUE1X00000033056,WYOMING,Violence and other injuries by persons or animals,LTIFR,6.4,9.5,7.1,6.9,6.7,,,,,,
CSUE2X00000033000,US,Transportation incidents ,LTIFR,5.8,5.7,5.6,5.8,5.7,,,,,,
CSUE2X00000033001,ALABAMA,Transportation incidents ,LTIFR,3.7,4.3,4.3,7.1,5.3,,,,,,
CSUE2X00000033002,ALASKA,Transportation incidents ,LTIFR,7.7,7.9,3.8,4.2,13.4,,,,,,
CSUE2X00000033004,ARIZONA,Transportation incidents ,LTIFR,5.8,4.8,4.8,4.3,5.7,,,,,,
CSUE2X00000033005,ARKANSAS,Transportation incidents ,LTIFR,5.9,6.5,8.0,6.2,5.3,,,,,,
CSUE2X00000033006,CALIFORNIA,Transportation incidents ,LTIFR,5.3,5.8,4.5,4.5,5.2,,,,,,
CSUE2X00000033009,CONNECTICUT,Transportation incidents ,LTIFR,7.8,6.7,5.4,4.7,5.9,,,,,,
CSUE2X00000033010,DELAWARE,Transportation incidents ,LTIFR,4.2,4.8,8.2,6.0,4.6,,,,,,
CSUE2X00000033011,DISTRICT OF COLUMBIA,Transportation incidents ,LTIFR,3.6,3.4,3.7,3.4,3.1,,,,,,
CSUE2X00000033013,GEORGIA,Transportation incidents ,LTIFR,3.9,5.0,5.0,4.6,3.6,,,,,,
CSUE2X00000033015,HAWAII,Transportation incidents ,LTIFR,12.7,6.5,4.9,13.1,12.5,,,,,,
CSUE2X00000033017,ILLINOIS,Transportation incidents ,LTIFR,6.1,4.9,6.5,6.8,5.4,,,,,,
CSUE2X00000033018,INDIANA,Transportation incidents ,LTIFR,5.4,4.6,3.2,3.4,6.3,,,,,,
CSUE2X00000033019,IOWA,Transportation incidents ,LTIFR,3.2,3.4,2.8,3.3,6.1,,,,,,
CSUE2X00000033020,KANSAS,Transportation incidents ,LTIFR,3.7,4.9,4.0,3.7,3.2,,,,,,
CSUE2X00000033021,KENTUCKY,Transportation incidents ,LTIFR,5.8,5.6,4.6,4.9,8.1,,,,,,
CSUE2X00000033022,LOUISIANA,Transportation incidents ,LTIFR,8.3,7.6,8.2,7.6,5.3,,,,,,
CSUE2X00000033023,MAINE,Transportation incidents ,LTIFR,2.8,4.2,3.8,2.7,3.4,,,,,,
CSUE2X00000033024,MARYLAND,Transportation incidents ,LTIFR,9.5,10.5,10.6,10.2,12.2,,,,,,
CSUE2X00000033025,MASSACHUSETTS,Transportation incidents ,LTIFR,8.4,6.6,5.2,5.8,5.1,,,,,,
CSUE2X00000033026,MICHIGAN,Transportation incidents ,LTIFR,3.8,3.6,3.8,4.2,4.2,,,,,,
CSUE2X00000033027,MINNESOTA,Transportation incidents ,LTIFR,5.7,2.9,2.7,3.0,3.1,,,,,,
CSUE2X00000033029,MISSOURI,Transportation incidents ,LTIFR,4.9,3.6,7.6,5.0,4.2,,,,,,
CSUE2X00000033030,MONTANA,Transportation incidents ,LTIFR,4.3,3.8,4.7,4.8,5.3,,,,,,
CSUE2X00000033031,NEBRASKA,Transportation incidents ,LTIFR,4.2,4.3,6.0,6.1,5.0,,,,,,
CSUE2X00000033032,NEVADA,Transportation incidents ,LTIFR,7.5,10.0,6.9,8.9,6.4,,,,,,
CSUE2X00000033034,NEW JERSEY,Transportation incidents ,LTIFR,7.3,7.8,9.1,10.9,8.9,,,,,,
CSUE2X00000033035,NEW MEXICO,Transportation incidents ,LTIFR,4.4,5.6,3.1,6.2,4.1,,,,,,
CSUE2X00000033036,NEW YORK,Transportation incidents ,LTIFR,6.6,7.2,7.3,7.3,7.8,,,,,,
CSUE2X00000033037,NORTH CAROLINA,Transportation incidents ,LTIFR,5.1,6.5,4.3,4.5,5.1,,,,,,
CSUE2X00000033039,OHIO,Transportation incidents ,LTIFR,,5.2,3.5,2.8,5.2,,,,,,
CSUE2X00000033040,OKLAHOMA,Transportation incidents ,LTIFR,5.3,6.0,,,,,,,,,
CSUE2X00000033041,OREGON,Transportation incidents ,LTIFR,4.3,6.3,6.2,8.6,5.1,,,,,,
CSUE2X00000033042,PENNSYLVANIA,Transportation incidents ,LTIFR,4.0,4.2,6.4,5.6,3.7,,,,,,
CSUE2X00000033043,PUERTO RICO,Transportation incidents ,LTIFR,6.4,6.0,8.8,4.2,2.8,,,,,,
CSUE2X00000033045,SOUTH CAROLINA,Transportation incidents ,LTIFR,5.4,4.8,6.5,8.7,5.6,,,,,,
CSUE2X00000033047,TENNESSEE,Transportation incidents ,LTIFR,6.8,7.8,6.4,6.9,5.1,,,,,,
CSUE2X00000033048,TEXAS,Transportation incidents ,LTIFR,4.7,4.2,5.5,4.5,3.7,,,,,,
CSUE2X00000033049,UTAH,Transportation incidents ,LTIFR,4.5,1.9,2.4,3.6,4.0,,,,,,
CSUE2X00000033050,VERMONT,Transportation incidents ,LTIFR,4.2,6.7,2.8,4.3,11.7,,,,,,
CSUE2X00000033051,VIRGINIA,Transportation incidents ,LTIFR,5.4,4.9,4.4,4.9,6.4,,,,,,
CSUE2X00000033053,WASHINGTON,Transportation incidents ,LTIFR,7.2,6.4,6.0,6.9,6.8,,,,,,
CSUE2X00000033054,WEST VIRGINIA,Transportation incidents ,LTIFR,7.0,7.3,7.0,7.0,6.5,,,,,,
CSUE2X00000033055,WISCONSIN,Transportation incidents ,LTIFR,4.2,4.0,5.0,3.9,3.9,,,,,,
CSUE2X00000033056,WYOMING,Transportation incidents ,LTIFR,4.7,4.6,6.2,3.9,6.7,,,,,,
CSUE3X00000033000,US,Fires and explosions ,LTIFR,0.2,0.2,0.2,0.2,0.2,,,,,,
CSUE3X00000033001,ALABAMA,Fires and explosions ,LTIFR,,0.2,,,,,,,,,
CSUE3X00000033002,ALASKA,Fires and explosions ,LTIFR,0.7,,,,,,,,,,
CSUE3X00000033004,ARIZONA,Fires and explosions ,LTIFR,0.2,0.2,0.3,0.1,0.1,,,,,,
CSUE3X00000033005,ARKANSAS,Fires and explosions ,LTIFR,0.4,0.5,0.4,,0.3,,,,,,
CSUE3X00000033006,CALIFORNIA,Fires and explosions ,LTIFR,0.0,0.0,0.0,0.0,0.1,,,,,,
CSUE3X00000033009,CONNECTICUT,Fires and explosions ,LTIFR,1.0,0.1,,,,,,,,,
CSUE3X00000033010,DELAWARE,Fires and explosions ,LTIFR,,,,,0.5,,,,,,
CSUE3X00000033013,GEORGIA,Fires and explosions ,LTIFR,0.1,,0.1,0.2,,,,,,,
CSUE3X00000033015,HAWAII,Fires and explosions ,LTIFR,0.4,,,,,,,,,,
CSUE3X00000033017,ILLINOIS,Fires and explosions ,LTIFR,0.1,0.0,0.1,0.2,0.1,,,,,,
CSUE3X00000033018,INDIANA,Fires and explosions ,LTIFR,,0.1,,0.2,0.1,,,,,,
CSUE3X00000033019,IOWA,Fires and explosions ,LTIFR,,,,,0.1,,,,,,
CSUE3X00000033020,KANSAS,Fires and explosions ,LTIFR,0.2,0.2,0.2,0.1,,,,,,,
CSUE3X00000033021,KENTUCKY,Fires and explosions ,LTIFR,0.4,0.1,,,0.5,,,,,,
CSUE3X00000033022,LOUISIANA,Fires and explosions ,LTIFR,0.1,0.2,0.2,,,,,,,,
CSUE3X00000033024,MARYLAND,Fires and explosions ,LTIFR,,0.2,0.2,,0.1,,,,,,
CSUE3X00000033025,MASSACHUSETTS,Fires and explosions ,LTIFR,,,,,0.2,,,,,,
CSUE3X00000033026,MICHIGAN,Fires and explosions ,LTIFR,0.1,0.2,0.3,0.2,0.1,,,,,,
CSUE3X00000033027,MINNESOTA,Fires and explosions ,LTIFR,0.2,0.1,0.1,,,,,,,,
CSUE3X00000033029,MISSOURI,Fires and explosions ,LTIFR,0.1,,,0.1,0.1,,,,,,
CSUE3X00000033031,NEBRASKA,Fires and explosions ,LTIFR,0.5,0.3,,0.3,0.3,,,,,,
CSUE3X00000033034,NEW JERSEY,Fires and explosions ,LTIFR,0.5,0.4,0.2,0.5,0.7,,,,,,
CSUE3X00000033035,NEW MEXICO,Fires and explosions ,LTIFR,,0.3,0.3,,,,,,,,
CSUE3X00000033036,NEW YORK,Fires and explosions ,LTIFR,0.1,0.0,0.2,0.1,0.1,,,,,,
CSUE3X00000033037,NORTH CAROLINA,Fires and explosions ,LTIFR,,0.1,,0.1,,,,,,,
CSUE3X00000033039,OHIO,Fires and explosions ,LTIFR,,1.1,0.0,,,,,,,,
CSUE3X00000033040,OKLAHOMA,Fires and explosions ,LTIFR,,0.5,,,,,,,,,
CSUE3X00000033041,OREGON,Fires and explosions ,LTIFR,,1.5,,0.3,0.5,,,,,,
CSUE3X00000033042,PENNSYLVANIA,Fires and explosions ,LTIFR,0.7,0.2,1.1,0.1,0.1,,,,,,
CSUE3X00000033045,SOUTH CAROLINA,Fires and explosions ,LTIFR,,,,0.2,0.4,,,,,,
CSUE3X00000033047,TENNESSEE,Fires and explosions ,LTIFR,0.3,0.3,0.3,0.7,0.3,,,,,,
CSUE3X00000033048,TEXAS,Fires and explosions ,LTIFR,0.3,0.1,0.0,0.1,0.1,,,,,,
CSUE3X00000033049,UTAH,Fires and explosions ,LTIFR,0.3,,,,0.3,,,,,,
CSUE3X00000033050,VERMONT,Fires and explosions ,LTIFR,,,,,1.6,,,,,,
CSUE3X00000033051,VIRGINIA,Fires and explosions ,LTIFR,0.3,0.1,0.2,,0.1,,,,,,
CSUE3X00000033053,WASHINGTON,Fires and explosions ,LTIFR,0.1,0.2,,0.1,0.1,,,,,,
CSUE3X00000033054,WEST VIRGINIA,Fires and explosions ,LTIFR,,0.8,1.1,0.6,,,,,,,
CSUE3X00000033055,WISCONSIN,Fires and explosions ,LTIFR,0.1,0.3,0.2,0.1,0.2,,,,,,
CSUE3X00000033056,WYOMING,Fires and explosions ,LTIFR,,,,2.2,2.8,,,,,,
CSUE4X00000033000,US,"Falls, slips, trips ",LTIFR,29.6,27.8,27.9,29.3,27.9,,,,,,
CSUE4X00000033001,ALABAMA,"Falls, slips, trips ",LTIFR,22.3,20.2,19.6,24.8,20.5,,,,,,
CSUE4X00000033002,ALASKA,"Falls, slips, trips ",LTIFR,48.9,51.0,45.6,43.4,38.6,,,,,,
CSUE4X00000033004,ARIZONA,"Falls, slips, trips ",LTIFR,22.6,22.3,22.9,21.9,22.3,,,,,,
CSUE4X00000033005,ARKANSAS,"Falls, slips, trips ",LTIFR,29.3,27.3,23.7,22.4,27.4,,,,,,
CSUE4X00000033006,CALIFORNIA,"Falls, slips, trips ",LTIFR,25.6,24.9,25.1,25.2,23.8,,,,,,
CSUE4X00000033009,CONNECTICUT,"Falls, slips, trips ",LTIFR,43.2,36.4,31.0,34.4,36.6,,,,,,
CSUE4X00000033010,DELAWARE,"Falls, slips, trips ",LTIFR,31.0,22.5,29.5,30.4,32.8,,,,,,
CSUE4X00000033011,DISTRICT OF COLUMBIA,"Falls, slips, trips ",LTIFR,20.3,19.9,23.5,22.6,19.0,,,,,,
CSUE4X00000033013,GEORGIA,"Falls, slips, trips ",LTIFR,21.5,20.3,19.7,21.2,21.2,,,,,,
CSUE4X00000033015,HAWAII,"Falls, slips, trips ",LTIFR,43.0,44.3,45.0,47.4,40.5,,,,,,
CSUE4X00000033017,ILLINOIS,"Falls, slips, trips ",LTIFR,27.3,24.4,27.6,27.3,29.0,,,,,,
CSUE4X00000033018,INDIANA,"Falls, slips, trips ",LTIFR,26.2,21.2,21.2,26.6,24.9,,,,,,
CSUE4X00000033019,IOWA,"Falls, slips, trips ",LTIFR,36.2,33.7,32.5,27.1,24.8,,,,,,
CSUE4X00000033020,KANSAS,"Falls, slips, trips ",LTIFR,26.5,22.3,23.0,26.6,21.5,,,,,,
CSUE4X00000033021,KENTUCKY,"Falls, slips, trips ",LTIFR,34.4,27.1,31.0,30.4,28.8,,,,,,
CSUE4X00000033022,LOUISIANA,"Falls, slips, trips ",LTIFR,21.6,25.1,20.3,18.7,20.9,,,,,,
CSUE4X00000033023,MAINE,"Falls, slips, trips ",LTIFR,42.1,34.3,38.4,42.2,31.7,,,,,,
CSUE4X00000033024,MARYLAND,"Falls, slips, trips ",LTIFR,32.5,32.4,32.9,39.2,37.5,,,,,,
CSUE4X00000033025,MASSACHUSETTS,"Falls, slips, trips ",LTIFR,34.0,36.2,32.7,41.9,33.8,,,,,,
CSUE4X00000033026,MICHIGAN,"Falls, slips, trips ",LTIFR,26.7,23.7,23.3,29.8,27.0,,,,,,
CSUE4X00000033027,MINNESOTA,"Falls, slips, trips ",LTIFR,26.4,25.9,29.1,28.3,23.2,,,,,,
CSUE4X00000033029,MISSOURI,"Falls, slips, trips ",LTIFR,23.0,18.0,19.7,22.3,18.4,,,,,,
CSUE4X00000033030,MONTANA,"Falls, slips, trips ",LTIFR,42.2,40.8,33.0,41.7,34.8,,,,,,
CSUE4X00000033031,NEBRASKA,"Falls, slips, trips ",LTIFR,33.1,27.7,31.0,26.0,34.1,,,,,,
CSUE4X00000033032,NEVADA,"Falls, slips, trips ",LTIFR,27.0,27.7,26.9,31.8,25.5,,,,,,
CSUE4X00000033034,NEW JERSEY,"Falls, slips, trips ",LTIFR,35.8,35.9,34.1,41.2,35.9,,,,,,
CSUE4X00000033035,NEW MEXICO,"Falls, slips, trips ",LTIFR,36.3,42.6,29.9,30.6,25.7,,,,,,
CSUE4X00000033036,NEW YORK,"Falls, slips, trips ",LTIFR,45.9,40.4,42.5,46.5,45.0,,,,,,
CSUE4X00000033037,NORTH CAROLINA,"Falls, slips, trips ",LTIFR,23.9,20.5,21.1,22.4,24.1,,,,,,
CSUE4X00000033039,OHIO,"Falls, slips, trips ",LTIFR,,27.8,26.8,24.1,24.4,,,,,,
CSUE4X00000033040,OKLAHOMA,"Falls, slips, trips ",LTIFR,40.4,32.7,,,,,,,,,
CSUE4X00000033041,OREGON,"Falls, slips, trips ",LTIFR,30.3,33.7,34.4,41.9,32.4,,,,,,
CSUE4X00000033042,PENNSYLVANIA,"Falls, slips, trips ",LTIFR,31.7,26.8,31.4,30.9,27.2,,,,,,
CSUE4X00000033043,PUERTO RICO,"Falls, slips, trips ",LTIFR,88.4,68.3,60.9,70.5,56.3,,,,,,
CSUE4X00000033045,SOUTH CAROLINA,"Falls, slips, trips ",LTIFR,25.2,28.3,23.0,23.0,23.0,,,,,,
CSUE4X00000033047,TENNESSEE,"Falls, slips, trips ",LTIFR,28.5,26.2,25.8,24.9,27.5,,,,,,
CSUE4X00000033048,TEXAS,"Falls, slips, trips ",LTIFR,23.1,20.5,18.6,18.7,19.0,,,,,,
CSUE4X00000033049,UTAH,"Falls, slips, trips ",LTIFR,22.7,20.7,24.6,17.2,20.5,,,,,,
CSUE4X00000033050,VERMONT,"Falls, slips, trips ",LTIFR,32.4,34.4,38.2,45.9,45.8,,,,,,
CSUE4X00000033051,VIRGINIA,"Falls, slips, trips ",LTIFR,24.3,25.1,24.9,31.1,26.1,,,,,,
CSUE4X00000033053,WASHINGTON,"Falls, slips, trips ",LTIFR,38.8,37.3,39.6,37.3,34.4,,,,,,
CSUE4X00000033054,WEST VIRGINIA,"Falls, slips, trips ",LTIFR,36.0,39.0,38.1,45.8,32.7,,,,,,
CSUE4X00000033055,WISCONSIN,"Falls, slips, trips ",LTIFR,26.5,27.0,31.6,33.7,25.8,,,,,,
CSUE4X00000033056,WYOMING,"Falls, slips, trips ",LTIFR,37.4,40.6,40.3,44.6,41.9,,,,,,
CSUE5X00000033000,US,Exposure to harmful substances or environments ,LTIFR,4.8,4.9,4.8,4.3,4.7,,,,,,
CSUE5X00000033001,ALABAMA,Exposure to harmful substances or environments ,LTIFR,4.6,3.8,4.3,4.0,4.0,,,,,,
CSUE5X00000033002,ALASKA,Exposure to harmful substances or environments ,LTIFR,7.2,7.6,6.2,8.0,7.0,,,,,,
CSUE5X00000033004,ARIZONA,Exposure to harmful substances or environments ,LTIFR,4.3,3.9,4.5,3.1,5.2,,,,,,
CSUE5X00000033005,ARKANSAS,Exposure to harmful substances or environments ,LTIFR,5.6,5.1,4.2,3.1,3.0,,,,,,
CSUE5X00000033006,CALIFORNIA,Exposure to harmful substances or environments ,LTIFR,5.9,6.2,6.6,6.6,6.6,,,,,,
CSUE5X00000033009,CONNECTICUT,Exposure to harmful substances or environments ,LTIFR,5.2,5.6,5.4,4.6,4.3,,,,,,
CSUE5X00000033010,DELAWARE,Exposure to harmful substances or environments ,LTIFR,3.6,4.2,3.9,4.0,6.0,,,,,,
CSUE5X00000033011,DISTRICT OF COLUMBIA,Exposure to harmful substances or environments ,LTIFR,3.6,3.5,4.1,4.7,3.3,,,,,,
CSUE5X00000033013,GEORGIA,Exposure to harmful substances or environments ,LTIFR,3.8,3.7,2.1,2.8,3.3,,,,,,
CSUE5X00000033015,HAWAII,Exposure to harmful substances or environments ,LTIFR,11.0,10.3,14.2,8.6,10.0,,,,,,
CSUE5X00000033017,ILLINOIS,Exposure to harmful substances or environments ,LTIFR,4.4,4.5,4.4,2.8,4.4,,,,,,
CSUE5X00000033018,INDIANA,Exposure to harmful substances or environments ,LTIFR,3.2,5.2,5.3,3.7,3.0,,,,,,
CSUE5X00000033019,IOWA,Exposure to harmful substances or environments ,LTIFR,5.9,4.9,7.3,3.7,4.8,,,,,,
